slug,name,description
"3d-hentai","3D Hentai","Truyện tranh hoặc video hentai sử dụng đồ họa 3D, mang lại hình ảnh chân thực, sống động với các góc quay chi tiết và tạo hình nhân vật sắc nét."
"action","Action","Kết hợp chiến đấu, phiêu lưu và tình dục. Các cảnh nóng thường diễn ra giữa hoặc sau những trận chiến, tạo cảm giác hoang dã, máu lửa và kích thích."
"adult","Adult","Nội dung tập trung vào các chủ đề dành cho người lớn, bao gồm tình dục rõ ràng, không hạn chế bởi các yếu tố nhẹ nhàng hay cấm kỵ."
"adventure","Adventure","Nhân vật bước vào hành trình phiêu lưu trong thế giới giả tưởng, dị giới hoặc vùng đất xa lạ, kết hợp tình dục với hành động, khám phá và cốt truyện hấp dẫn."
"ahegao","Ahegao","Biểu cảm nhân vật khi đạt cực khoái mãnh liệt: mắt đảo, lưỡi thè, mặt đỏ, nước dãi chảy ra. Thể hiện sự mất kiểm soát và khoái cảm tột độ."
"anal","Anal","Quan hệ tình dục qua đường hậu môn, nhấn mạnh sự kích thích mãnh liệt và cảm giác cấm kỵ."
"angel","Angel","Thiên thần nữ với cánh trắng, dáng vẻ thuần khiết. Khi sa ngã vào dục vọng, sự tương phản giữa thanh cao và dâm đãng làm tăng sức quyến rũ."
"anh-dong","Ảnh động","Nội dung sử dụng hình ảnh động hoặc GIF, tập trung vào các cảnh tình dục ngắn, lặp lại để tạo hiệu ứng thị giác sống động."
"animal","Animal","Nhân vật mang đặc điểm động vật thuần túy, như thú hình người, kết hợp yếu tố hoang dã và bản năng trong các cảnh tình dục."
"animal-girl","Animal Girl","Nhân vật nữ mang đặc điểm động vật như tai, đuôi, móng vuốt (mèo, chó, cáo, thỏ...). Tính cách dễ thương hoặc hoang dã, gợi cảm kiểu nửa người nửa thú."
"ao-dai","Áo dài","Nhân vật mặc áo dài Việt Nam bó sát, tôn lên đường cong cơ thể, thường xuất hiện trong bối cảnh văn hóa Việt với nét gợi cảm tinh tế."
"apron","Apron","Nhân vật nữ chỉ mặc tạp dề mỏng, không nội y, thường là vợ đảm, mẹ kế hoặc cô gái phục vụ, mang cảm giác nguy hiểm trong an toàn."
"artist-cg","Artist CG","Bộ tranh vẽ minh họa chất lượng cao từ các họa sĩ hentai nổi tiếng, tập trung vào cảnh sex đẹp mắt, ít cốt truyện."
"based-game","Based Game","Nội dung chuyển thể từ game người lớn, giữ nguyên tạo hình, tình huống và bối cảnh gốc, như Teaching Feeling hay Fate/Stay Night H."
"beach","Beach","Bối cảnh diễn ra tại bãi biển hoặc hồ bơi, nơi nhân vật mặc bikini, đồ bơi hở hang, cơ thể ướt át. Thường mang không khí vui tươi, gợi cảm và tự do."
"bdsm","BDSM","Trói buộc, kiểm soát, đau đớn, phục tùng. Bao gồm từ nhẹ (bịt mắt, trói tay) đến nặng (đánh, tra tấn, điều khiển tâm lý)."
"big-ass","Big Ass","Tập trung vào nhân vật nữ có vòng 3 to, tròn, căng mẩy, thường được nhấn mạnh qua các góc vẽ gợi cảm."
"big-boobs","Big Boobs","Vòng 1 ngoại cỡ, rung động mạnh khi va chạm. Nét vẽ phóng đại chuyển động và độ căng mọng của ngực."
"big-penis","Big Penis","Dương vật ngoại cỡ, quá khổ so với bình thường, nhấn mạnh sự đau đớn và sung sướng cực độ khi quan hệ."
"bikini","Bikini","Nhân vật mặc bikini nhỏ xíu, hở hang, tôn lên đường cong cơ thể, thường xuất hiện ở bãi biển, hồ bơi hoặc phòng tắm."
"bit-mat","Bịt mắt","Quan hệ tình dục khi một hoặc cả hai nhân vật bị bịt mắt, tạo cảm giác bí ẩn và tăng cường kích thích qua sự bất ngờ."
"black-skin","Black Skin","Nhân vật có làn da nâu hoặc sẫm màu, được miêu tả với vẻ đẹp gợi cảm, mạnh mẽ và quyến rũ."
"blackmail","Blackmail","Cưỡng ép quan hệ bằng cách uy hiếp, đe dọa (bằng ảnh, clip, bí mật...), tạo tình huống căng thẳng và kích thích."
"blowjobs","BlowJobs","Dùng miệng để kích thích dương vật, đi kèm các kỹ thuật như lick, suck, deepthroat, mang lại khoái cảm mãnh liệt."
"body-swap","Body Swap","Hoán đổi cơ thể giữa hai nhân vật, thường là nam và nữ, dẫn đến trải nghiệm sex từ góc nhìn mới lạ, đầy kích thích."
